2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.591927Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.657889Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.996145Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:07:33+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:33.996196Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:07:34+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:34.086820Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:07:54+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:07:54.873311Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:08:11+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:08:11.621116Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:08:25+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:08:25.306958Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:08:25+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:08:25.400996Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:08:46+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:08:46.087962Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:09:14+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:14.715802Z  INFO warzone_sentinel::network_guard: [network-guard] buffer Kick (wan jitter 0.3ms) — [buffer-tune] applied profile=kick xbox_rtt=3ms ifb_rtt=3ms backlog=65536 xbox=192.0.2.50 wan=eth1 ifb=ifb0
2026-06-29T18:09:14+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:14.770325Z  INFO warzone_sentinel::network_guard: [network-guard] flood Shield — [packet-shield-nft] SHIELD (normal/tiny-only) already active — skip rebuild
2026-06-29T18:09:14+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:14.799864Z  INFO warzone_sentinel::network_guard: [network-guard] MoCA DSCP EF — moca-qos=ef backend=pve-host xbox=192.0.2.50
2026-06-29T18:09:14+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:14.864375Z  INFO warzone_sentinel::network_guard: [network-guard] upload boost — active=1 xbox_ceil=882mbit shaped_mbps=901
2026-06-29T18:09:15+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:15.201878Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:09:15+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:15.201926Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:09:15+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:15.299328Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:09:32+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:32.009578Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:09:52+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:09:52.787211Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:10:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:10:09.435797Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
2026-06-29T18:10:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:10:09.435846Z  WARN warzone_sentinel: WZ ALERT [HIGH] score=58 phase=in-match (reminder) — Cheater lobby — packet shield active (blocks tiny flood packets; normal aim traffic unchanged).
2026-06-29T18:10:09+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:10:09.533598Z  WARN warzone_sentinel::notify: [ntfy] phone push rejected: HTTP 429 Too Many Requests
2026-06-29T18:10:26+0000 pve-host run_automated.sh[202899]: 2026-06-29T18:10:26.159734Z  INFO warzone_sentinel: [mitigate] [String("shield:normal")]
